factor,selection_frequency,mean_abs_lasso_coefficient,proposed_selected,strategy,train_mode,review_date,lasso_alpha,fallback_used,effective_update,effective_features
intraday_return_20,1.0,0.04859191026766606,True,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
range_compression_20,0.5,0.012760967229151234,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
close_location_20,0.5,0.0017543765309006691,False,stability_lasso_ridge,rolling_5y,2020-12-17,0.04,False,False,mom_63|mom_21|distance_ma_20|distance_ma_200|reversal_21|low_downside_vol_63|drawdown_resilience_63|low_beta_126|skew_63|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20|range_compression_20
mom_63,1.0,0.1159538993891857,True,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
mom_126,0.5,0.05211396826726541,False,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
mom_252,1.0,0.07857688950357572,True,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
low_vol_63,1.0,0.2706045750170631,True,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
mom_21,1.0,0.15384406290168015,True,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
skip_recent_mom_252_21,0.5,0.014247088345547334,False,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
distance_ma_20,1.0,0.05994933656553733,True,stability_lasso_ridge,rolling_5y,2021-06-17,0.005,False,True,mom_63|mom_252|low_vol_63|mom_21|distance_ma_20|distance_ma_200|trend_efficiency_63|reversal_5|low_vol_21|low_downside_vol_63|low_beta_126|low_idio_vol_126|skew_63|amount_acceleration_20_120|amount_surprise_120|nonzero_return_share_63|gap_return_20|intraday_return_20
