U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,model,wall,factor,key
6ETF,w18,pure2,Ridge,,,0.724873743285249,0.1411051596332355,-0.2950914728549506,,,,,,,,,ridge42,Ridge,Ridge,w2018,pure2,6ETF|w2018|pure2|Ridge
6ETF,w2020,+comm,ElasticNet(a=0.01),6.0,3.0,0.5786832928185657,0.0957830103521337,-0.2552009412663762,0.3753238913494304,0.5074626865671642,56.0,-0.2868795132024002,0.851563521469396,0.4129107937691641,-0.4609600734866791,,v3,ElasticNet,ElasticNet,w2020,+comm,6ETF|w2020|+comm|ElasticNet
6ETF,w20,+comm,Ridge,,,0.7397365654694745,0.1430274100893196,-0.2499930070302459,,,,,,,,,ridge42,Ridge,Ridge,w2020,+comm,6ETF|w2020|+comm|Ridge
6ETF,w2020,+gold,ElasticNet(a=0.01),6.0,3.0,0.3795901578732263,0.0540443020034884,-0.2761952981576737,0.1956742289386683,0.4925373134328358,56.0,-0.5081250106774174,0.929718481660036,0.4129107937691641,-0.4609600734866799,,v3,ElasticNet,ElasticNet,w2020,+gold,6ETF|w2020|+gold|ElasticNet
6ETF,w20,+gold,Ridge,,,0.7682098167190136,0.1499686385481713,-0.2492607023174047,,,,,,,,,ridge42,Ridge,Ridge,w2020,+gold,6ETF|w2020|+gold|Ridge
6ETF,w2020,+margin,ElasticNet(a=0.01),6.0,3.0,0.4766836125995815,0.071747701276567,-0.2683782566189819,0.2673379810288716,0.5223880597014925,20.0,-0.5286660841171275,1.0891589675018674,-0.0987607404269198,-0.1564746041550203,,v3,ElasticNet,ElasticNet,w2020,+margin,6ETF|w2020|+margin|ElasticNet
6ETF,w20,+margin,Ridge,,,0.6846987829862721,0.1222472738486575,-0.2594224799644388,,,,,,,,,ridge42,Ridge,Ridge,w2020,+margin,6ETF|w2020|+margin|Ridge
6ETF,w2020,+shibor,ElasticNet(a=0.01),6.0,3.0,0.2991593984593303,0.0378210572534511,-0.2645571591274114,0.1429598706691451,0.4925373134328358,56.0,-0.5081250106774174,0.8172885762829628,0.4129107937691641,-0.0736165394251258,,v3,ElasticNet,ElasticNet,w2020,+shibor,6ETF|w2020|+shibor|ElasticNet
6ETF,w20,+shibor,Ridge,,,0.7141808683655857,0.1374330396642187,-0.3201200442972322,,,,,,,,,ridge42,Ridge,Ridge,w2020,+shibor,6ETF|w2020|+shibor|Ridge
6ETF,w2020,base5,ElasticNet(a=0.01),6.0,5.0,0.0454072696277505,-0.0081049920178785,-0.3649786102664194,-0.0222067589439342,0.4626865671641791,66.0,-0.5488077647321938,0.7632643493763213,-0.4966186189257325,-0.460960073486681,,v3,ElasticNet,ElasticNet,w2020,base5,6ETF|w2020|base5|ElasticNet
6ETF,w20,base5,Ridge,,,0.134968592531483,0.0077646463579525,-0.3933073249150191,,,,,,,,,ridge42,Ridge,Ridge,w2020,base5,6ETF|w2020|base5|Ridge
6ETF,w2020,pure2,ElasticNet(a=0.01),6.0,2.0,0.2537498041246042,0.0296811554979286,-0.2764846408185681,0.1073519144139571,0.4776119402985074,66.0,-0.5077226248801086,0.8346013559267543,0.4129107937691641,-0.4609600734866745,,v3,ElasticNet,ElasticNet,w2020,pure2,6ETF|w2020|pure2|ElasticNet
6ETF,w20,pure2,Ridge,,,0.6825855718796523,0.1293481108910641,-0.2950914728549493,,,,,,,,,ridge42,Ridge,Ridge,w2020,pure2,6ETF|w2020|pure2|Ridge
6ETF,w2022,+comm,ElasticNet(a=0.01),6.0,3.0,0.8644219659237972,0.1511315372208646,-0.1703249249097241,0.8873131005398506,0.5476190476190477,35.0,,0.8515635214693938,,-0.9134641848802102,,v3,ElasticNet,ElasticNet,w2022,+comm,6ETF|w2022|+comm|ElasticNet
6ETF,w22,+comm,Ridge,,,0.920883918083798,0.1788804928784597,-0.191452273831977,,,,,,,,,ridge42,Ridge,Ridge,w2022,+comm,6ETF|w2022|+comm|Ridge
