period,strategy,start,end,trading_days,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,monthly_win_rate,annual_win_rate,best_month,worst_month,profit_factor,var_5_daily,cvar_5_daily,skew,kurtosis,annual_gross_turnover,avg_exposure,cash_day_share,avg_position_count,avg_max_single_weight
2023年以来,8ETF_8因子等权,2023-01-03,2026-06-18,815,0.13328506104367488,0.24042535701291545,0.6469250040911476,0.76835176298518,-0.22717035516977513,0.5867185484834263,0.5276073619631901,0.5714285714285714,0.75,0.14307990762251777,-0.16215935707778628,1.1380803068207177,-0.018740016687215828,-0.0337696250461269,-4.254110328912279,63.43250122200025,10.192780044989073,1.0,0.0,2.6904761904761907,0.5093838894416555
2023年以来,8ETF_8因子Ridge,2023-01-03,2026-06-18,815,0.15636387534620755,0.2063014042290626,0.8079986894269289,1.2269341725578045,-0.22581221965741938,0.6924509027165483,0.5177914110429448,0.5952380952380952,0.75,0.12579616806686866,-0.16297078082029004,1.1545133381390575,-0.019839717418091662,-0.029306085865422757,-0.4779970640504682,5.61546836158327,11.110566154755853,1.0,0.0,2.6904761904761907,0.5044300036359712
2023年以来,沪深300ETF,2023-01-03,2026-06-18,815,0.10409221805495483,0.17456405813718676,0.654444485481799,1.0403976245745394,-0.2256240588347328,0.4613524754077812,0.49325153374233127,0.5476190476190477,0.75,0.24793623607894477,-0.06189463610271584,1.1305547518864691,-0.013855341811989252,-0.022176283826494423,0.4091883273736918,14.747948650767633,0.0,1.0,0.0,,
2023年以来,8ETF等权,2023-01-03,2026-06-18,815,0.08095359453735185,0.18549514907332965,0.5125387597776496,0.719107382512932,-0.22395976273288842,0.3614649057915966,0.498159509202454,0.5238095238095238,0.75,0.2169822009286475,-0.09491467851916935,1.0995993391524357,-0.016565970427589918,-0.025924593992781762,-0.0401158300735394,10.010525534380461,0.0,1.0,0.0,,
2026年以来,6ETF_5因子Ridge,2026-01-05,2026-06-18,109,0.323521777892525,0.21727868720223628,1.4000411429965047,2.2959302700349036,-0.12160015699693494,2.660537501614243,0.6146788990825688,0.8333333333333334,1.0,0.11122509525347302,-0.08685337506886881,1.254283419908673,-0.022239596517381062,-0.030921718026816175,-0.7622345020128299,1.560653143466379,5.730448930323991,1.0,0.0,3.0,0.389041393454758
2026年以来,6ETF_8因子等权,2026-01-05,2026-06-18,109,0.6210912312222128,0.24151746205470626,2.123787196284029,4.0436316804282235,-0.1207562027859963,5.143348473145585,0.6422018348623854,0.8333333333333334,1.0,0.1434517711643728,-0.08595259690219792,1.4156537729354868,-0.022500222325074624,-0.032859925837080105,-0.8469230296765328,2.4487022095769233,1.5632571051126813,1.0,0.0,3.0,0.38466772607203065
2026年以来,6ETF_8因子Ridge,2026-01-05,2026-06-18,109,0.21313581682254745,0.18960738039247174,1.1143261912401303,1.8718866682991568,-0.12075620278599597,1.7650092658202126,0.5504587155963303,0.8333333333333334,1.0,0.11048251635923201,-0.08595259690219792,1.1923876882090991,-0.022040679016921548,-0.024647136465678884,-0.27009563488885296,0.13815502962515902,6.826043957218658,1.0,0.0,3.0,0.3841127016752374
2026年以来,8ETF_5因子Ridge,2026-01-05,2026-06-18,109,0.3430338890222804,0.30268324134369473,1.1272656592163348,1.7484358759052057,-0.2071208813900356,1.6562013772831667,0.6238532110091743,0.8333333333333334,1.0,0.15988427031547015,-0.16278689978747907,1.2089792665211585,-0.028831450224618697,-0.04632510645824477,-0.5543477240486764,1.979364930481402,4.992262580121646,1.0,0.0,3.0,0.3966179561492407
2026年以来,8ETF_8因子等权,2026-01-05,2026-06-18,109,0.15597436604227588,0.24662758034598167,0.711700725434318,1.0110653756322379,-0.132500775481175,1.1771581371947206,0.5412844036697247,0.5,1.0,0.08300105204166153,-0.08546225305870359,1.125493267152536,-0.02524018935553171,-0.03566863768036753,-0.4295877879754401,1.6754954490503553,11.811248996602359,1.0,0.0,3.0,0.4041959485357838
2026年以来,8ETF_8因子Ridge,2026-01-05,2026-06-18,109,-0.10280727912971643,0.2860831222019689,-0.23556052092834964,-0.5652513893396224,-0.2258122196574195,-0.45527774929844683,0.5688073394495413,0.5,0.0,0.11991769570916566,-0.16297078082029004,0.9614502992642898,-0.02655308370779714,-0.04095714659772474,-0.22909899471220735,1.7452168632892904,7.493384371614851,1.0,0.0,3.0,0.4463420618092087
2026年以来,沪深300ETF,2026-01-05,2026-06-18,109,0.18411295204063238,0.16428767343704248,1.111064433391149,2.019170229159264,-0.07602103919776837,2.421868393059761,0.4954128440366973,0.8333333333333334,1.0,0.08088731246639091,-0.05544975433046351,1.1975595475506848,-0.014127077974705781,-0.02057931926988647,0.045611063398625785,0.7998996983345905,0.0,1.0,0.0,,
2026年以来,8ETF等权,2026-01-05,2026-06-18,109,0.008209754412350057,0.17269627510698532,0.13396784683294355,0.07524319645968683,-0.11377394369406091,0.07215847623622994,0.4954128440366973,0.5,1.0,0.05688365077268065,-0.08158831929636179,1.0228168709909284,-0.018806911465607836,-0.02628184255222965,-0.42481312242570124,1.4771587607782988,0.0,1.0,0.0,,
