phase,path,suffix,size,modified
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/monthly_cost_equity.png,.png,199687,2026-06-22 10:59:38
10_其他可审计文件,mvp_cn/outputs/second_round/figures/fixed_origin_2023_equity.png,.png,136280,2026-06-22 10:59:38
10_其他可审计文件,mvp_cn/outputs/second_round/figures/monthly_cost_equity.png,.png,199687,2026-06-22 10:59:38
10_其他可审计文件,mvp_cn/outputs/second_round/figures/original_models_equity.png,.png,273735,2026-06-22 10:59:38
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/fixed_origin_2023_equity.png,.png,136280,2026-06-22 10:59:38
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/monthly_cost_equity.png,.png,199687,2026-06-22 10:59:38
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/original_models_equity.png,.png,273735,2026-06-22 10:59:38
10_其他可审计文件,mvp_cn/outputs/second_round/figures/comparison_dashboard.png,.png,823507,2026-06-22 10:59:39
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/comparison_dashboard.png,.png,823507,2026-06-22 10:59:39
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/fine_sector_equity.png,.png,132265,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/data/processed/second_round/fine_sector_quality.json,.json,19780,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/figures/fine_sector_equity.png,.png,132265,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/fine_sector_daily_returns.csv,.csv,5946,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/fine_sector_validation.csv,.csv,896,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/fine_t1_execution_audit_base_5.csv,.csv,466,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/fine_t1_execution_audit_base_plus_both.csv,.csv,514,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/fine_target_weights_base_5.csv,.csv,918,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/fine_target_weights_base_plus_both.csv,.csv,913,2026-06-22 10:59:40
10_其他可审计文件,mvp_cn/outputs/second_round/run_summary.json,.json,21925,2026-06-22 10:59:40
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/figures/fine_sector_equity.png,.png,132265,2026-06-22 10:59:40
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/fine_sector_validation.csv,.csv,896,2026-06-22 10:59:40
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/run_summary.json,.json,21925,2026-06-22 10:59:40
09_平台工程,quant-research-platform/apps/api/app/__init__.py,.py,2,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/api/app/main.py,.py,382,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/api/app/persistence/database.py,.py,1398,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/api/app/routes/api.py,.py,3119,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/api/app/schemas/models.py,.py,776,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/api/app/services/runtime.py,.py,2868,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/api/tests/test_api.py,.py,1247,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/web/index.html,.html,308,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/web/package.json,.json,762,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/web/tsconfig.app.json,.json,501,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/web/tsconfig.json,.json,113,2026-06-22 16:01:44
09_平台工程,quant-research-platform/apps/web/tsconfig.node.json,.json,171,2026-06-22 16:01:44
09_平台工程,quant-research-platform/docs/architecture/ADR-0001-platform-layout.md,.md,683,2026-06-22 16:01:44
09_平台工程,quant-research-platform/docs/experiment-guide.md,.md,477,2026-06-22 16:01:44
