period,start,end,sample_days,rebalance_mode,cost_bps,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover
full_walk_forward,2020-11-03,2026-06-18,1340,weekly,15,0.19263102681696576,0.22071932075559395,0.9089847851785062,-0.24351511577337026,0.7910434069162249,0.6470588235294118,16.742621333599974
development,2020-11-03,2022-12-30,525,weekly,15,0.09190519093553795,0.24464960013406883,0.48203478492602797,-0.24351511577337026,0.3774106204604991,0.6153846153846154,21.384079529173604
seen_holdout,2023-01-03,2026-06-18,815,weekly,15,0.2623841167488674,0.20390977150003067,1.245178590489861,-0.14664184099777167,1.7892854792572779,0.6666666666666666,13.752724949948256
full_walk_forward,2020-11-03,2026-06-18,1340,weekly,30,0.16310396503542157,0.22055373675747497,0.7957995858141853,-0.2562868388238837,0.6364117868241531,0.6323529411764706,16.742621333599974
development,2020-11-03,2022-12-30,525,weekly,30,0.05743567970675345,0.2446479333481039,0.3509267252503018,-0.2562868388238837,0.22410701997156535,0.5769230769230769,21.384079529173604
seen_holdout,2023-01-03,2026-06-18,815,weekly,30,0.23670019370664663,0.20360372381550765,1.145730490911718,-0.15393662910520978,1.537646985532411,0.6666666666666666,13.752724949948256
full_walk_forward,2021-02-05,2026-06-18,1273,daily,0,0.20563749020293032,0.22216982974265126,0.9533842340956052,-0.21743861351337224,0.9457266438570435,0.6461538461538462,37.86552752927353
development,2021-02-05,2022-12-30,458,daily,0,0.09842598568776695,0.2537603896928159,0.4969766244788541,-0.21743861351337224,0.45266102509301487,0.6521739130434783,41.98978470740836
seen_holdout,2023-01-03,2026-06-18,815,daily,0,0.2704157722551157,0.2023696781740341,1.2846469420073792,-0.13952836175220407,1.9380702880706193,0.6428571428571429,35.54784680830941
full_walk_forward,2021-02-05,2026-06-18,1273,daily,15,0.13913567689284045,0.22203429315632867,0.6981575659814687,-0.24681363949912716,0.5637276658421161,0.6153846153846154,37.86552752927353
development,2021-02-05,2022-12-30,458,daily,15,0.0314079072561666,0.253682493297283,0.24884769939912052,-0.24242866009681585,0.12955525655928468,0.6086956521739131,41.98978470740836
seen_holdout,2023-01-03,2026-06-18,815,daily,15,0.2045403540956241,0.20218250726330392,1.0221053285272685,-0.1467007014845777,1.3942697753025193,0.6190476190476191,35.54784680830941
full_walk_forward,2021-02-05,2026-06-18,1273,daily,30,0.07622503492513943,0.22216386008767888,0.442090942882276,-0.30527965037913896,0.24968921063186664,0.5538461538461539,37.86552752927353
development,2021-02-05,2022-12-30,458,daily,30,-0.031602678478770296,0.2538746709297769,0.0005657428258721735,-0.273560527257832,-0.11552353256354356,0.4782608695652174,41.98978470740836
seen_holdout,2023-01-03,2026-06-18,815,daily,30,0.14200716215531872,0.20225934307987903,0.7580863532015273,-0.16474920347507593,0.8619596280888986,0.5952380952380952,35.54784680830941
full_walk_forward,2021-02-05,2026-06-18,1273,event_triggered,0,0.16296924420738468,0.25710453217552726,0.7160495595971227,-0.4070022993751302,0.40041357126873983,0.5846153846153846,12.61326830228208
development,2021-02-05,2022-12-30,458,event_triggered,0,0.20240065513887617,0.2705795185401818,0.8169269433845215,-0.21310606755271,0.9497648633998376,0.6086956521739131,14.414021504642498
seen_holdout,2023-01-03,2026-06-18,815,event_triggered,0,0.14138051659439532,0.24937352516361413,0.6549947749899074,-0.31897292098509955,0.44323673670405317,0.5714285714285714,11.601311287949477
full_walk_forward,2021-02-05,2026-06-18,1273,event_triggered,15,0.1410840454400848,0.2574469439496003,0.641606701742881,-0.43922371351823464,0.3212122685953922,0.5692307692307692,12.61326830228208
development,2021-02-05,2022-12-30,458,event_triggered,15,0.17655541203894276,0.27103327007376044,0.735786668228039,-0.22845137757655365,0.7728358389074689,0.6086956521739131,14.414021504642498
seen_holdout,2023-01-03,2026-06-18,815,event_triggered,15,0.12162187683673853,0.2496501005637281,0.5845637103350738,-0.339204063829457,0.35855076576525585,0.5476190476190477,11.601311287949477
full_walk_forward,2021-02-05,2026-06-18,1273,event_triggered,30,0.11956699530404102,0.2579330530530521,0.5670455197449292,-0.4697586001974494,0.2545285924595835,0.5538461538461539,12.61326830228208
development,2021-02-05,2022-12-30,458,event_triggered,30,0.15121809537737385,0.2716301809904143,0.6545724553187011,-0.2435303848532977,0.6209413887653789,0.6086956521739131,14.414021504642498
seen_holdout,2023-01-03,2026-06-18,815,event_triggered,30,0.10216370738718927,0.250070845257359,0.5139920329651084,-0.3588752064050815,0.2846775301380716,0.5238095238095238,11.601311287949477
